2026-02-07 20:54:22,193 | INFO | email_visibility | Fetched 0 emails
2026-02-07 20:54:22,197 | INFO | email_visibility | Scheduler cycle finished
2026-02-07 20:54:22,198 | INFO | apscheduler.executors.default | Job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:59:19 IST)" executed successfully
2026-02-07 20:54:23,246 | INFO | email_visibility | Fetched 0 emails
2026-02-07 20:54:23,251 | INFO | email_visibility | Scheduler cycle finished
2026-02-07 20:54:23,252 | INFO | apscheduler.executors.default | Job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 20:59:20 IST)" executed successfully
2026-02-07 20:55:03,129 | INFO | werkzeug | 127.0.0.1 - - [07/Feb/2026 20:55:03] "[31m[1mGET /email/process HTTP/1.1[0m" 405 -
2026-02-07 20:55:39,973 | INFO | werkzeug | 127.0.0.1 - - [07/Feb/2026 20:55:39] "GET /hr/updates HTTP/1.1" 200 -
2026-02-07 20:56:00,630 | INFO | werkzeug | 127.0.0.1 - - [07/Feb/2026 20:56:00] "GET /hr/risk HTTP/1.1" 200 -
2026-02-07 20:56:36,768 | INFO | werkzeug | 127.0.0.1 - - [07/Feb/2026 20:56:36] "GET /integration/platform/snapshot HTTP/1.1" 200 -
2026-02-07 20:59:19,303 | INFO | apscheduler.executors.default | Running job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 21:04:19 IST)" (scheduled at 2026-02-07 20:59:19.286759+05:30)
2026-02-07 20:59:19,304 | INFO | email_visibility | Scheduler cycle started
2026-02-07 20:59:20,962 | INFO | apscheduler.executors.default | Running job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 21:04:20 IST)" (scheduled at 2026-02-07 20:59:20.947766+05:30)
2026-02-07 20:59:20,964 | INFO | email_visibility | Scheduler cycle started
2026-02-07 20:59:21,847 | INFO | email_visibility | Fetched 0 emails
2026-02-07 20:59:21,850 | INFO | email_visibility | Scheduler cycle finished
2026-02-07 20:59:21,851 | INFO | apscheduler.executors.default | Job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 21:04:19 IST)" executed successfully
2026-02-07 20:59:23,297 | INFO | email_visibility | Fetched 0 emails
2026-02-07 20:59:23,300 | INFO | email_visibility | Scheduler cycle finished
2026-02-07 20:59:23,300 | INFO | apscheduler.executors.default | Job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 21:04:20 IST)" executed successfully
2026-02-07 20:59:45,574 | INFO | werkzeug |  * Detected change in 'D:\\Delpat\\email_visibility_system\\backend\\email_fetcher\\imap_fetcher.py', reloading
2026-02-07 20:59:45,705 | INFO | werkzeug |  * Detected change in 'D:\\Delpat\\email_visibility_system\\email_ingestion\\ingest.py', reloading
2026-02-07 20:59:45,757 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\orm\\__init__.py', reloading
2026-02-07 20:59:45,765 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\orm\\session.py', reloading
2026-02-07 20:59:45,863 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\event\\__init__.py', reloading
2026-02-07 20:59:45,865 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\event\\registry.py', reloading
2026-02-07 20:59:45,872 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\__init__.py', reloading
2026-02-07 20:59:45,881 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\engine\\__init__.py', reloading
2026-02-07 20:59:45,887 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\engine\\create.py', reloading
2026-02-07 20:59:45,905 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\util\\__init__.py', reloading
2026-02-07 20:59:45,912 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\util\\deprecations.py', reloading
2026-02-07 20:59:45,921 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\engine\\url.py', reloading
2026-02-07 20:59:45,943 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\util\\_collections.py', reloading
2026-02-07 20:59:45,956 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\util\\_py_collections.py', reloading
2026-02-07 20:59:45,985 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\engine\\base.py', reloading
2026-02-07 20:59:46,028 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\engine\\interfaces.py', reloading
2026-02-07 20:59:46,098 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\log.py', reloading
2026-02-07 20:59:46,120 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\inspection.py', reloading
2026-02-07 20:59:46,138 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\engine\\reflection.py', reloading
2026-02-07 20:59:46,232 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\pool\\__init__.py', reloading
2026-02-07 20:59:46,237 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\pool\\base.py', reloading
2026-02-07 20:59:46,264 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\util\\typing.py', reloading
2026-02-07 20:59:46,296 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\sqlalchemy\\sql\\_typing.py', reloading
2026-02-07 20:59:46,811 | INFO | werkzeug |  * Restarting with watchdog (windowsapi)
2026-02-07 20:59:48,734 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-07 20:59:48,736 | INFO | apscheduler.scheduler | Added job "fetch_and_process" to job store "default"
2026-02-07 20:59:48,737 | INFO | apscheduler.scheduler | Scheduler started
2026-02-07 20:59:48,756 | WARNING | werkzeug |  * Debugger is active!
2026-02-07 20:59:48,766 | INFO | werkzeug |  * Debugger PIN: 169-022-151
2026-02-07 20:59:48,911 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\pydantic\\_internal\\_generics.py', reloading
2026-02-07 20:59:49,000 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\flask\\__init__.py', reloading
2026-02-07 20:59:49,014 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\flask\\app.py', reloading
2026-02-07 20:59:49,107 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\flask\\sansio\\app.py', reloading
2026-02-07 20:59:49,137 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\flask\\sansio\\scaffold.py', reloading
2026-02-07 20:59:49,173 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\flask\\globals.py', reloading
2026-02-07 20:59:49,185 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\flask\\wrappers.py', reloading
2026-02-07 20:59:49,197 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\werkzeug\\wrappers\\__init__.py', reloading
2026-02-07 20:59:49,201 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\werkzeug\\wrappers\\request.py', reloading
2026-02-07 20:59:49,224 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\werkzeug\\sansio\\request.py', reloading
2026-02-07 20:59:49,247 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\flask\\json\\__init__.py', reloading
2026-02-07 20:59:49,258 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\werkzeug\\wrappers\\response.py', reloading
2026-02-07 20:59:49,282 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\werkzeug\\sansio\\response.py', reloading
2026-02-07 20:59:49,306 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\flask\\templating.py', reloading
2026-02-07 20:59:49,320 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\jinja2\\__init__.py', reloading
2026-02-07 20:59:49,330 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\jinja2\\environment.py', reloading
2026-02-07 20:59:49,474 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\apscheduler\\schedulers\\background.py', reloading
2026-02-07 20:59:49,478 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\apscheduler\\schedulers\\blocking.py', reloading
2026-02-07 20:59:49,484 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\apscheduler\\schedulers\\base.py', reloading
2026-02-07 20:59:49,516 | INFO | werkzeug |  * Detected change in 'D:\\Delpat\\email_visibility_system\\risk_engine\\risk.py', reloading
2026-02-07 20:59:49,529 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\apscheduler\\util.py', reloading
2026-02-07 20:59:49,537 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\apscheduler\\job.py', reloading
2026-02-07 20:59:49,545 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\apscheduler\\triggers\\base.py', reloading
2026-02-07 20:59:49,552 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\apscheduler\\jobstores\\base.py', reloading
2026-02-07 20:59:49,559 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\apscheduler\\executors\\base.py', reloading
2026-02-07 20:59:49,602 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\apscheduler\\events.py', reloading
2026-02-07 20:59:49,605 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\apscheduler\\executors\\pool.py', reloading
2026-02-07 20:59:49,636 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\apscheduler\\jobstores\\memory.py', reloading
2026-02-07 20:59:49,673 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\flask\\typing.py', reloading
2026-02-07 20:59:49,683 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\werkzeug\\datastructures\\__init__.py', reloading
2026-02-07 20:59:49,688 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\werkzeug\\datastructures\\headers.py', reloading
2026-02-07 20:59:49,721 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\werkzeug\\utils.py', reloading
2026-02-07 20:59:49,734 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\werkzeug\\_internal.py', reloading
2026-02-07 20:59:49,749 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\werkzeug\\datastructures\\structures.py', reloading
2026-02-07 20:59:49,774 | INFO | werkzeug |  * Detected change in 'C:\\Users\\LOQ\\AppData\\Roaming\\Python\\Python312\\site-packages\\werkzeug\\datastructures\\mixins.py', reloading
2026-02-07 20:59:50,079 | INFO | werkzeug |  * Restarting with watchdog (windowsapi)
2026-02-07 20:59:51,333 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-07 20:59:51,335 | INFO | apscheduler.scheduler | Added job "fetch_and_process" to job store "default"
2026-02-07 20:59:51,335 | INFO | apscheduler.scheduler | Scheduler started
2026-02-07 20:59:51,348 | WARNING | werkzeug |  * Debugger is active!
2026-02-07 20:59:51,354 | INFO | werkzeug |  * Debugger PIN: 169-022-151
2026-02-07 21:00:14,166 | INFO | werkzeug | 127.0.0.1 - - [07/Feb/2026 21:00:14] "[33mPOST /email/process%0A HTTP/1.1[0m" 404 -
2026-02-07 21:00:29,585 | INFO | werkzeug | 127.0.0.1 - - [07/Feb/2026 21:00:29] "[33mGET /email/process%0A HTTP/1.1[0m" 404 -
2026-02-07 21:00:50,569 | INFO | werkzeug | 127.0.0.1 - - [07/Feb/2026 21:00:50] "[33mPOST /email/process%0A HTTP/1.1[0m" 404 -
2026-02-07 21:04:19,302 | INFO | apscheduler.executors.default | Running job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 21:09:19 IST)" (scheduled at 2026-02-07 21:04:19.286759+05:30)
2026-02-07 21:04:19,306 | INFO | email_visibility | Scheduler cycle started
2026-02-07 21:04:21,737 | INFO | email_visibility | Fetched 0 emails
2026-02-07 21:04:21,740 | INFO | email_visibility | Scheduler cycle finished
2026-02-07 21:04:21,740 | INFO | apscheduler.executors.default | Job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 21:09:19 IST)" executed successfully
2026-02-07 21:04:51,338 | INFO | apscheduler.executors.default | Running job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 21:09:51 IST)" (scheduled at 2026-02-07 21:04:51.333924+05:30)
2026-02-07 21:04:51,341 | INFO | email_visibility | Scheduler cycle started
2026-02-07 21:04:54,246 | INFO | email_visibility | Fetched 0 emails
2026-02-07 21:04:54,279 | INFO | email_visibility | Scheduler cycle finished
2026-02-07 21:04:54,282 | INFO | apscheduler.executors.default | Job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 21:09:51 IST)" executed successfully
2026-02-07 21:09:19,296 | INFO | apscheduler.executors.default | Running job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 21:14:19 IST)" (scheduled at 2026-02-07 21:09:19.286759+05:30)
2026-02-07 21:09:19,299 | INFO | email_visibility | Scheduler cycle started
2026-02-07 21:09:22,343 | INFO | email_visibility | Fetched 0 emails
2026-02-07 21:09:22,348 | INFO | email_visibility | Scheduler cycle finished
2026-02-07 21:09:22,349 | INFO | apscheduler.executors.default | Job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 21:14:19 IST)" executed successfully
2026-02-07 21:09:51,339 | INFO | apscheduler.executors.default | Running job "fetch_and_process (trigger: interval[0:05:00], next run at: 2026-02-07 21:14:51 IST)" (scheduled at 2026-02-07 21:09:51.333924+05:30)
2026-02-07 21:09:51,342 | INFO | email_visibility | Scheduler cycle started
2026-02-07 21:09:54,287 | INFO | email_visibility | Fetched 0 emails
2026-02-07 21:09:54,292 | INFO | email_visibility | Scheduler cycle finished
